id_offre,titre,entreprise,source,Competence
42,Data Scientist - Madrid F/H,CARREVOLUTIS,APEC,SQL
58,CP MOA Senior / Data Scientist F/H,VIBTIC,APEC,SQL
74,Ingénieur Data Scientist Confirmé - Industrie - le Plessis Robinson F/H,Hellowork,APEC,SQL
79,Lead data F/H,AMILTONE,APEC,SQL
90,Data engineer F/H,AMILTONE,APEC,SQL
91,Data engineer F/H,AMILTONE,APEC,SQL
108,Responsable du service aide au pilotage F/H,SORBONNE UNIVERSITE,APEC,SQL
117,Data Steward F/H,SKIILS,APEC,SQL
122,Data Engineer F/H,CONSTENCIA,APEC,SQL
130,Ingénieur Data /BI F/H,DATA INSIGHT,APEC,SQL
131,Ingénieur Data /BI F/H,DATA INSIGHT,APEC,SQL
139,Data Engineer F/H,BS DIGITAL,APEC,SQL
179,Ingénieur Développeur Logiciel Python (Grenoble) F/H,PROBAYES,APEC,SQL
180,Ingénieur Développeur Logiciel Python (Paris) F/H,PROBAYES,APEC,SQL
241,Chef de Projet Implementation F/H,MY PEPIT RECRUTEMENT,APEC,SQL
315,Data Analyst Senior F/H,ALTELIOS TECHNOLOGY,APEC,SQL
440,profil Data / Business Analyst F/H,OPERAM,APEC,SQL
468,Consultant(e) Data Fabric F/H,Datatorii,APEC,SQL
519,Data Engineer Databricks F/H,Datatorii,APEC,SQL
